일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-09-02,거창(284),X,24.6,23,20.5,17.2,85.8,X, ,X,보통
2022-09-02,합천(285),X,25.5,23.9,21.2,18.5,84.3,X, ,X,보통
2022-09-02,밀양(288),X,25,23.1,21.6,19.8,83.5,X, ,X,보통
2022-09-02,산청(289),X,25.3,23.1,20.5,18.3,92.8,X, ,X,보통
2022-09-02,거제(294),X,25.3,22.5,21.3,19.8,93.3,X, ,X,낮음
2022-09-02,남해(295),X,24.4,21.7,20.9,20.4,94.4,X, ,X,보통
2022-09-02,부천(433),X,28.6,29.9,24.2,19.4,57,X, ,X,높음
2022-09-02,안양(434),X,23.7,29.3,24.5,20.5,,X, ,X,높음
2022-09-02,광명(437),X,29.3,30.7,25.7,21.9,55,O, ,X,높음
2022-09-02,군포(438),X,28.5,29.7,24.5,20.3,59,X, ,X,높음
2022-09-02,김포(441),X,,29.9,24,17.6,,X, ,X,높음
2022-09-02,하남(444),X,28.2,29.1,23.2,17,63,X, ,X,높음
2022-09-02,의왕(445),X,,,,,,X, ,X,높음
2022-09-02,포천(504),X,29.3,30.5,23.1,17,65,X, ,X,높음
2022-09-02,가평조종(505),X,28.2,28.2,21.7,15.5,73,X, ,X,높음
2022-09-02,안성(516),X,27.9,28.5,23.2,18.3,71,X, ,X,높음
2022-09-02,간성(517),X,28,25.7,20.5,15.5,91,X, ,X,높음
2022-09-02,평창(526),X,26.5,27.3,19.8,14.1,68,X, ,X,높음
2022-09-02,의정부(532),X,29.4,29.5,23.1,17,75,X, ,X,높음
2022-09-02,횡성(536),X,29,29.7,22.4,16.3,72,X, ,X,높음
2022-09-02,고양(540),X,29.9,30.4,23.5,17.3,65,X, ,X,높음
2022-09-02,남양주(541),X,28.9,30,23.5,17.1,63,X, ,X,높음
2022-09-02,안산(545),X,29.3,29.8,22.7,16.7,73,X, ,X,높음
2022-09-02,경기광주(546),X,27.9,28.8,22.7,18.1,65,X, ,X,높음
2022-09-02,여주(548),X,28.2,28.4,22.4,17.5,73,X, ,X,높음
2022-09-02,용인(549),X,27.6,28.7,22.3,16.7,67,X, ,X,높음
2022-09-02,오산(550),X,27.6,28.6,23.6,18.2,63,X, ,X,높음
2022-09-02,평택(551),X,28.5,29.1,23.9,19,69,X, ,X,높음
2022-09-02,화천(555),X,29.2,29.4,21.2,15.8,79,X, ,X,높음
2022-09-02,양구(556),X,26.9,27.3,19.7,14.9,76,X, ,X,높음
2022-09-02,시흥(565),X,29.1,29.7,24,17.2,69,X, ,X,높음
2022-09-02,구리(569),X,29.5,30.2,24.1,18.7,62,X, ,X,높음
2022-09-02,화성(571),X,28.7,29.4,24.5,20.1,67,X, ,X,높음
2022-09-02,성남(572),X,28.5,29.3,23.5,18.4,64,X, ,X,높음
